START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,LABEL,LABEL
1/1/2016 21:11,1/1/2016 21:17,Business,HBR Layout,HBR Layout,5.1,Meal/Entertain,7
1/2/2016 1:25,1/2/2016 1:37,Business,HBR Layout,HBR Layout,5,,0
1/2/2016 20:25,1/2/2016 20:38,Business,HBR Layout,HBR Layout,4.8,Errand/Supplies,6
1/5/2016 17:31,1/5/2016 17:45,Business,HBR Layout,HBR Layout,4.7,Meeting,8
1/6/2016 14:42,1/6/2016 15:49,Business,HBR Layout,Mahatma Gandhi Road,63.7,Customer Visit,5
1/6/2016 17:15,1/6/2016 17:19,Business,Mahatma Gandhi Road,Mahatma Gandhi Road,4.3,Meal/Entertain,7
1/6/2016 17:30,1/6/2016 17:35,Business,Mahatma Gandhi Road,Banaswadi,7.1,Meeting,8
1/7/2016 13:27,1/7/2016 13:33,Business,Commercial Street,Commercial Street,0.8,Meeting,8
1/10/2016 8:05,1/10/2016 8:25,Business,Commercial Street,Whitefield,8.3,Meeting,8
1/10/2016 12:17,1/10/2016 12:44,Business,HSR Layout,RT Nagar,16.5,Customer Visit,5
1/10/2016 15:08,1/10/2016 15:51,Business,RT Nagar,Benson Town,10.8,Meeting,8
1/10/2016 18:18,1/10/2016 18:53,Business,Benson Town,RT Nagar,7.5,Meeting,8
1/10/2016 19:12,1/10/2016 19:32,Business,Brigade Road,HBR Layout,6.2,Meeting,8
1/11/2016 8:55,1/11/2016 9:21,Business,HBR Layout,Brigade Road,6.4,Temporary Site,10
1/11/2016 11:56,1/11/2016 12:03,Business,Cunningham Road,Brigade Road,1.6,Errand/Supplies,6
1/11/2016 13:32,1/11/2016 13:46,Business,Brigade Road,Brigade Road,1.7,Meal/Entertain,7
1/11/2016 14:30,1/11/2016 14:43,Business,Brigade Road,Brigade Road,1.9,Meal/Entertain,7
1/12/2016 12:33,1/12/2016 12:49,Business,Brigade Road,Infantry Road,1.9,Meal/Entertain,7
1/12/2016 12:53,1/12/2016 13:09,Business,Infantry Road,Lavelle Road,4,Meal/Entertain,7
1/12/2016 14:42,1/12/2016 14:56,Business,Lavelle Road,Infantry Road,1.8,Errand/Supplies,6
1/12/2016 15:13,1/12/2016 15:28,Business,Infantry Road,RT Nagar,2.4,Customer Visit,5
1/12/2016 15:42,1/12/2016 15:54,Business,RT Nagar,Brigade Road,2,Errand/Supplies,6
1/12/2016 16:02,1/12/2016 17:00,Business,RT Nagar,Benson Town County,15.1,Meeting,8
1/13/2016 13:54,1/13/2016 14:07,Business,Hosur Road,Bannerghatta Main Rd,11.2,Meeting,8
1/13/2016 15:00,1/13/2016 15:28,Business,Bannerghatta Main Rd,Hosur Road,11.8,Meeting,8
1/14/2016 16:29,1/14/2016 17:05,Business,JC Road,JC Road,21.9,Customer Visit,5
1/14/2016 21:39,1/14/2016 21:45,Business,JC Road,Ali Asker Road,3.9,Errand/Supplies,6
1/15/2016 0:41,1/15/2016 1:01,Business,Whitefield,Commercial Street,8,Errand/Supplies,6
1/15/2016 11:43,1/15/2016 12:03,Business,Commercial Street,Saint Mark's Road,10.4,Meal/Entertain,7
1/15/2016 13:26,1/15/2016 13:44,Business,Saint Mark's Road,Commercial Street,10.4,Meal/Entertain,7
1/18/2016 14:55,1/18/2016 15:06,Business,Commercial Street,Commercial Street,4.8,Meal/Entertain,7
1/18/2016 16:13,1/18/2016 16:24,Business,Sankey Road,Race Course Road,4.7,Meal/Entertain,7
1/19/2016 9:09,1/19/2016 9:23,Business,Race Course Road,RT Nagar,7.2,,0
1/19/2016 10:55,1/19/2016 11:09,Business,RT Nagar,Race Course Road,7.6,Temporary Site,10
1/20/2016 10:36,1/20/2016 11:11,Business,Commercial Street,Kammanahalli Main Rd,17.1,Meeting,8
1/20/2016 11:48,1/20/2016 12:19,Business,Kammanahalli Main Rd,Commercial Street,15.1,Meeting,8
1/20/2016 13:25,1/20/2016 14:19,Business,Kammanahalli Main Rd,Commercial Street,40.2,Customer Visit,5
1/21/2016 14:25,1/21/2016 14:29,Business,Commercial Street,Commercial Street,1.6,Errand/Supplies,6
1/21/2016 14:43,1/21/2016 14:51,Business,Commercial Street,Commercial Street,2.4,Meal/Entertain,7
1/21/2016 16:01,1/21/2016 16:06,Business,Commercial Street,Commercial Street,1,Meal/Entertain,7
1/26/2016 10:41,1/26/2016 10:50,Business,Race Course Road,ITPL Main Rd,2,Meal/Entertain,7
1/26/2016 12:33,1/26/2016 12:41,Business,ITPL Main Rd,Race Course Road,2.3,Errand/Supplies,6
1/26/2016 16:24,1/26/2016 16:32,Business,Race Course Road,Shivaji Nagar,1.9,Errand/Supplies,6
1/26/2016 17:17,1/26/2016 17:22,Business,Commercial Street,Commercial Street,1.4,Errand/Supplies,6
1/26/2016 17:27,1/26/2016 17:29,Business,Commercial Street,Commercial Street,0.5,Errand/Supplies,6
1/27/2016 9:24,1/27/2016 9:31,Business,Commercial Street,Commercial Street,1.8,Meeting,8
1/27/2016 10:19,1/27/2016 10:48,Business,Commercial Street,Kammanahalli Main Rd,18.7,Customer Visit,5
1/27/2016 12:34,1/27/2016 12:44,Business,Shivaji Nagar,Kammanahalli Main Rd,3.4,Customer Visit,5
1/27/2016 14:05,1/27/2016 14:13,Business,Kammanahalli Main Rd,Kammanahalli Main Rd,2.7,Customer Visit,5
1/27/2016 14:46,1/27/2016 15:08,Business,Kammanahalli Main Rd,Commercial Street,12.9,Customer Visit,5
1/28/2016 12:28,1/28/2016 13:00,Business,Commercial Street,Kammanahalli Main Rd,19,Temporary Site,10
1/28/2016 15:11,1/28/2016 15:31,Business,Kammanahalli Main Rd,Museum Rd,14.7,Meeting,8
1/28/2016 16:21,1/28/2016 16:51,Business,Kammanahalli Main Rd,Commercial Street,15.7,Meeting,8
1/29/2016 9:31,1/29/2016 9:45,Business,Commercial Street,Commercial Street,4.6,Customer Visit,5
1/29/2016 10:56,1/29/2016 11:07,Business,Commercial Street,Commercial Street,5.2,Meeting,8
1/29/2016 11:43,1/29/2016 12:03,Business,Commercial Street,Saint Mark's Road,10.4,Meeting,8
1/29/2016 13:24,1/29/2016 13:47,Business,Saint Mark's Road,Commercial Street,10.1,Meeting,8
1/29/2016 18:31,1/29/2016 18:52,Business,Commercial Street,UB City,5.8,Errand/Supplies,6
1/29/2016 21:21,1/29/2016 21:40,Business,UB City,Commercial Street,5.5,Meal/Entertain,7
1/30/2016 16:21,1/30/2016 16:33,Business,Commercial Street,UB City,5.7,Errand/Supplies,6
1/30/2016 18:09,1/30/2016 18:24,Business,UB City,Commercial Street,5.7,Customer Visit,5
2/1/2016 10:35,2/1/2016 11:15,Business,Commercial Street,Chapel Hill,19.4,Customer Visit,5
2/1/2016 12:10,2/1/2016 12:43,Business,Chapel Hill,Commercial Street,23.3,Customer Visit,5
2/1/2016 12:56,2/1/2016 13:07,Business,Northwoods,Race Course Road,3.9,Meal/Entertain,7
2/2/2016 13:04,2/2/2016 13:23,Business,Race Course Road,Williamsburg Manor,8.3,Meeting,8
2/2/2016 13:51,2/2/2016 14:06,Business,Commercial Street,Commercial Street,6,Errand/Supplies,6
2/2/2016 14:38,2/2/2016 14:42,Business,Commercial Street,Commercial Street,1.6,Errand/Supplies,6
2/4/2016 8:40,2/4/2016 9:01,Business,Commercial Street,Whitefield,5.2,Errand/Supplies,6
2/4/2016 9:37,2/4/2016 10:09,Business,Whitefield,Commercial Street,9.7,Meal/Entertain,7
2/4/2016 10:26,2/4/2016 10:32,Business,Commercial Street,Commercial Street,1.6,Meal/Entertain,7
2/4/2016 15:59,2/4/2016 16:03,Business,Commercial Street,Commercial Street,1.1,Meal/Entertain,7
2/4/2016 16:35,2/4/2016 16:39,Business,Commercial Street,Commercial Street,1.6,Meal/Entertain,7
2/4/2016 18:04,2/4/2016 18:31,Business,Race Course Road,Macgregor Downs,9,Meeting,8
2/4/2016 20:36,2/4/2016 20:55,Business,Commercial Street,Commercial Street,7.7,Meeting,8
2/5/2016 11:47,2/5/2016 12:07,Business,Commercial Street,Saint Mark's Road,10.4,Meeting,8
2/5/2016 13:22,2/5/2016 13:41,Business,Saint Mark's Road,Commercial Street,10.4,Meeting,8
2/6/2016 16:20,2/6/2016 16:53,Business,Commercial Street,Kammanahalli Main Rd,11.4,Between Offices,2
2/6/2016 18:57,2/6/2016 19:21,Business,Kammanahalli Main Rd,Commercial Street,9,Errand/Supplies,6
2/6/2016 19:28,2/6/2016 19:37,Business,Edgehill Farms,Race Course Road,3.2,Meal/Entertain,7
2/7/2016 16:49,2/7/2016 17:01,Business,Commercial Street,UB City,5.6,Errand/Supplies,6
2/7/2016 18:03,2/7/2016 18:17,Business,UB City,Commercial Street,5.7,Customer Visit,5
2/7/2016 18:39,2/7/2016 18:53,Business,Commercial Street,Whitefield,6.1,Temporary Site,10
2/7/2016 20:22,2/7/2016 20:40,Business,Whitefield,Commercial Street,6.1,Meeting,8
2/8/2016 12:57,2/8/2016 13:08,Business,Race Course Road,Edgehill Farms,4.3,Meal/Entertain,7
2/8/2016 14:00,2/8/2016 14:10,Business,Edgehill Farms,Race Course Road,2.7,Meal/Entertain,7
2/9/2016 10:54,2/9/2016 11:07,Personal,Race Course Road,Northwoods,5.3,,0
2/9/2016 11:43,2/9/2016 11:50,Personal,Northwoods,Tanglewood,3,,0
2/9/2016 13:36,2/9/2016 13:52,Personal,Tanglewood,Preston,5.1,,0
2/9/2016 13:58,2/9/2016 14:02,Personal,Preston,Race Course Road,1.5,,0
2/9/2016 18:55,2/9/2016 19:11,Business,Commercial Street,Whitefield,6.1,,0
2/9/2016 20:24,2/9/2016 20:40,Business,Whitefield,Commercial Street,6.1,Meal/Entertain,7
2/11/2016 16:28,2/11/2016 17:10,Business,Commercial Street,Kammanahalli Main Rd,17.3,Meal/Entertain,7
2/11/2016 17:49,2/11/2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,7
2/11/2016 18:24,2/11/2016 18:46,Business,Kammanahalli Main Rd,Whitefield,13.5,Temporary Site,10
2/11/2016 20:36,2/11/2016 20:51,Business,Whitefield,Commercial Street,6.1,Temporary Site,10
2/12/2016 8:21,2/12/2016 8:42,Business,Commercial Street,Saint Mark's Road,8.5,Temporary Site,10
2/12/2016 10:45,2/12/2016 10:52,Business,Saint Mark's Road,Whitefield,2.6,Temporary Site,10
2/12/2016 11:14,2/12/2016 11:35,Business,Whitefield,Kammanahalli Main Rd,17,Customer Visit,5
2/12/2016 13:02,2/12/2016 13:36,Business,Kammanahalli Main Rd,Commercial Street,18,Meeting,8
2/12/2016 14:49,2/12/2016 15:06,Business,Commercial Street,Whitefield,8.4,Meeting,8
2/12/2016 15:33,2/12/2016 16:06,Business,Whitefield,Commercial Street,11.5,Customer Visit,5
2/13/2016 14:21,2/13/2016 14:41,Business,Commercial Street,Whitefield,8.9,Meeting,8
2/13/2016 23:45,2/14/2016 0:01,Personal,East Benson Town,Jackson Heights,2.7,,0
2/14/2016 0:50,2/14/2016 1:00,Personal,Jackson Heights,East Benson Town,1.8,,0
2/14/2016 14:07,2/14/2016 14:40,Business,East Benson Town,RT Nagar,8.1,Meeting,8
2/14/2016 14:46,2/14/2016 15:03,Business,Brigade Road,Brigade Road West,2,Meeting,8
2/14/2016 16:35,2/14/2016 17:02,Business,RT Nagar,Long Island City,13,Meeting,8
2/14/2016 17:06,2/14/2016 17:29,Business,Long Island City,HSR Layout,13.9,Meeting,8
2/16/2016 3:21,2/16/2016 4:13,Business,Katunayaka,Unknown Location,43.7,Customer Visit,5
2/16/2016 8:29,2/16/2016 9:34,Business,Unknown Location,Colombo,14.1,,0
2/16/2016 10:31,2/16/2016 10:41,Business,Colombo,Colombo,2.6,,0
2/16/2016 11:32,2/16/2016 12:02,Business,Colombo,Colombo,4.5,,0
2/16/2016 12:39,2/16/2016 12:42,Business,Colombo,Colombo,1.7,,0
2/16/2016 13:43,2/16/2016 13:55,Business,Colombo,Colombo,1.8,Temporary Site,10
2/16/2016 16:34,2/16/2016 17:10,Business,Colombo,Colombo,6,,0
2/16/2016 17:17,2/16/2016 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain,7
2/16/2016 17:40,2/16/2016 17:44,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,6
2/17/2016 13:18,2/17/2016 14:04,Business,Unknown Location,Colombo,14.7,Temporary Site,10
2/17/2016 15:17,2/17/2016 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain,7
2/17/2016 15:33,2/17/2016 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site,10
2/17/2016 16:38,2/17/2016 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,6
2/18/2016 8:19,2/18/2016 8:27,Business,Unknown Location,Unknown Location,23.5,Temporary Site,10
2/18/2016 14:03,2/18/2016 14:45,Business,Unknown Location,Electronic City,12.7,Temporary Site,10
2/18/2016 15:16,2/18/2016 15:31,Business,Electronic City,Unknown Location,6,Temporary Site,10
2/18/2016 18:44,2/18/2016 18:58,Business,Unknown Location,Electronic City,5.2,Customer Visit,5
2/18/2016 19:27,2/18/2016 20:08,Business,Electronic City,Unknown Location,10,Meeting,8
2/19/2016 9:02,2/19/2016 9:14,Business,Unknown Location,Unknown Location,18.3,Meeting,8
2/19/2016 9:21,2/19/2016 9:51,Business,Unknown Location,Unknown Location,11.2,Meeting,8
2/19/2016 10:21,2/19/2016 10:48,Business,Unknown Location,Electronic City,7.6,Meeting,8
2/19/2016 11:20,2/19/2016 11:26,Personal,Electronic City,Electronic City,1.5,,0
2/19/2016 11:45,2/19/2016 11:50,Personal,Electronic City,Electronic City,1,,0
2/19/2016 12:09,2/19/2016 12:27,Business,Electronic City,Unknown Location,7.3,Temporary Site,10
2/19/2016 16:26,2/19/2016 16:45,Business,Unknown Location,Electronic City,3.5,,0
2/19/2016 17:09,2/19/2016 17:20,Business,Electronic City,Electronic City,4.2,,0
2/19/2016 20:08,2/19/2016 20:30,Personal,Electronic City,Unknown Location,13.6,,0
2/19/2016 20:34,2/19/2016 20:51,Personal,Unknown Location,Unknown Location,2.5,,0
2/20/2016 7:59,2/20/2016 8:32,Personal,Unknown Location,Electronic City,14.4,,0
2/20/2016 10:48,2/20/2016 10:56,Personal,Electronic City,Electronic City,3,,0
2/20/2016 11:45,2/20/2016 11:53,Personal,Electronic City,Electronic City,1.5,,0
2/20/2016 12:41,2/20/2016 13:17,Business,Electronic City,Rawalpindi,18.4,,0
2/20/2016 14:50,2/20/2016 15:54,Business,Rawalpindi,Rawalpindi,23.1,Meeting,8
2/20/2016 16:59,2/20/2016 17:54,Personal,Rawalpindi,Unknown Location,16.5,,0
2/20/2016 18:00,2/20/2016 18:03,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,6
2/20/2016 19:28,2/20/2016 19:49,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,6
2/21/2016 9:07,2/21/2016 9:46,Business,Unknown Location,Electronic City,14.5,,0
